Subject,Start Date,Start Time,End Date,End Time,Description,Location
COSC367 LecA,07/12/2016,11:00 AM,07/12/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
COSC367 LecA,07/19/2016,11:00 AM,07/19/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,07/26/2016,11:00 AM,07/26/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,08/02/2016,11:00 AM,08/02/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,08/09/2016,11:00 AM,08/09/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,09/06/2016,11:00 AM,09/06/2016,12:00 PM,Artificial Intelligence :: Cosc100Tutor, E9 Lecture Theatre
COSC367 LecA,09/13/2016,11:00 AM,09/13/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,09/20/2016,11:00 AM,09/20/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,09/27/2016,11:00 AM,09/27/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecA,10/04/2016,11:00 AM,10/04/2016,12:00 PM,"Artificial Intelligence ::  Neshatian,K", E9 Lecture Theatre
COSC367 LecB,07/21/2016,12:00 PM,07/21/2016,01:00 PM,"Artificial Intelligence :: Neshatian,K", C1 Lecture Theatre
COSC367 LecB,07/28/2016,12:00 PM,07/28/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,08/04/2016,12:00 PM,08/04/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,08/11/2016,12:00 PM,08/11/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,09/08/2016,12:00 PM,09/08/2016,01:00 PM,"Artificial Intelligence :: Neshatian,K", C1 Lecture Theatre
COSC367 LecB,09/15/2016,12:00 PM,09/15/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,09/22/2016,12:00 PM,09/22/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,09/29/2016,12:00 PM,09/29/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 LecB,10/06/2016,12:00 PM,10/06/2016,01:00 PM,Artificial Intelligence ::  Cosc100Tutor, C1 Lecture Theatre
COSC367 TesA,09/15/2016,05:30 PM,09/15/2016,07:30 PM,Artificial Intelligence :: No item, Erskine 134 Lab 3
COSC368 ComA,07/14/2016,09:00 AM,07/14/2016,11:00 AM,"Humans and Computers :: Cockburn,AJ", Erskine 136 Lab 4
COSC368 ComA,07/21/2016,09:00 AM,07/21/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,07/28/2016,09:00 AM,07/28/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,08/04/2016,09:00 AM,08/04/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,08/11/2016,09:00 AM,08/11/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,09/08/2016,09:00 AM,09/08/2016,11:00 AM,"Humans and Computers :: Cockburn,AJ", Erskine 136 Lab 4
COSC368 ComA,09/15/2016,09:00 AM,09/15/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,09/22/2016,09:00 AM,09/22/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,09/29/2016,09:00 AM,09/29/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 ComA,10/06/2016,09:00 AM,10/06/2016,11:00 AM,Humans and Computers ::  Cosc300Tutor, Erskine 136 Lab 4
COSC368 LecA,07/12/2016,09:00 AM,07/12/2016,10:00 AM,Humans and Computers :: Cosc100Tutor, E9 Lecture Theatre
COSC368 LecA,07/19/2016,09:00 AM,07/19/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,07/26/2016,09:00 AM,07/26/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,08/02/2016,09:00 AM,08/02/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,08/09/2016,09:00 AM,08/09/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,09/06/2016,09:00 AM,09/06/2016,10:00 AM,Humans and Computers :: Cosc100Tutor, E9 Lecture Theatre
COSC368 LecA,09/13/2016,09:00 AM,09/13/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,09/20/2016,09:00 AM,09/20/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,09/27/2016,09:00 AM,09/27/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecA,10/04/2016,09:00 AM,10/04/2016,10:00 AM,"Humans and Computers ::  Cockburn,AJ", E9 Lecture Theatre
COSC368 LecB,07/15/2016,11:00 AM,07/15/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
COSC368 LecB,07/22/2016,11:00 AM,07/22/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,07/29/2016,11:00 AM,07/29/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,08/05/2016,11:00 AM,08/05/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,08/12/2016,11:00 AM,08/12/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,09/09/2016,11:00 AM,09/09/2016,12:00 PM,"Humans and Computers :: Cockburn,AJ", A3 Lecture Theatre
COSC368 LecB,09/16/2016,11:00 AM,09/16/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,09/23/2016,11:00 AM,09/23/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,09/30/2016,11:00 AM,09/30/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
COSC368 LecB,10/07/2016,11:00 AM,10/07/2016,12:00 PM,Humans and Computers ::  Cosc100Tutor, A3 Lecture Theatre
ENCE361 LabA,03/10/2016,09:00 AM,03/10/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
ENCE361 LabA,03/17/2016,09:00 AM,03/17/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LabA,03/24/2016,09:00 AM,03/24/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LabA,03/31/2016,09:00 AM,03/31/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LabA,05/05/2016,09:00 AM,05/05/2016,11:00 AM,"Embedded Systems 1 :: Hampton,R", Temporary Elec DSL Lab
ENCE361 LabA,05/12/2016,09:00 AM,05/12/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LabA,05/19/2016,09:00 AM,05/19/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LabA,05/26/2016,09:00 AM,05/26/2016,11:00 AM,"Embedded Systems 1 ::  Hof,P", Temporary Elec DSL Lab
ENCE361 LecA,02/23/2016,08:00 AM,02/23/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,03/01/2016,08:00 AM,03/01/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,03/08/2016,08:00 AM,03/08/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,03/15/2016,08:00 AM,03/15/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,04/05/2016,08:00 AM,04/05/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/03/2016,08:00 AM,05/03/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/10/2016,08:00 AM,05/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/17/2016,08:00 AM,05/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecA,05/24/2016,08:00 AM,05/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 LecB,02/24/2016,03:00 PM,02/24/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/02/2016,03:00 PM,03/02/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/09/2016,03:00 PM,03/09/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/16/2016,03:00 PM,03/16/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/23/2016,03:00 PM,03/23/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,03/30/2016,03:00 PM,03/30/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/04/2016,03:00 PM,05/04/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/11/2016,03:00 PM,05/11/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/18/2016,03:00 PM,05/18/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecB,05/25/2016,03:00 PM,05/25/2016,04:00 PM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,02/25/2016,08:00 AM,02/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/03/2016,08:00 AM,03/03/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/10/2016,08:00 AM,03/10/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/17/2016,08:00 AM,03/17/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/24/2016,08:00 AM,03/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,03/31/2016,08:00 AM,03/31/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/05/2016,08:00 AM,05/05/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/12/2016,08:00 AM,05/12/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/19/2016,08:00 AM,05/19/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 LecC,05/26/2016,08:00 AM,05/26/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", Law 108 Lecture Theatre
ENCE361 TesA,05/04/2016,06:00 PM,05/04/2016,07:00 PM,Embedded Systems 1 :: No item, C1 Lecture Theatre
ENCE361 TutA,02/24/2016,08:00 AM,02/24/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/02/2016,08:00 AM,03/02/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/09/2016,08:00 AM,03/09/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/16/2016,08:00 AM,03/16/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/23/2016,08:00 AM,03/23/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,03/30/2016,08:00 AM,03/30/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/04/2016,08:00 AM,05/04/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/11/2016,08:00 AM,05/11/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/18/2016,08:00 AM,05/18/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENCE361 TutA,05/25/2016,08:00 AM,05/25/2016,09:00 AM,"Embedded Systems 1 ::  Bones,P", A3 Lecture Theatre
ENEL301 LecA,07/11/2016,05:00 PM,07/11/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
ENEL301 LecA,07/18/2016,05:00 PM,07/18/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,07/25/2016,05:00 PM,07/25/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,08/01/2016,05:00 PM,08/01/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,08/08/2016,05:00 PM,08/08/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/05/2016,05:00 PM,09/05/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Wheki 302
ENEL301 LecA,09/12/2016,05:00 PM,09/12/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/19/2016,05:00 PM,09/19/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,09/26/2016,05:00 PM,09/26/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecA,10/03/2016,05:00 PM,10/03/2016,06:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 236 L2
ENEL301 LecB,07/12/2016,03:00 PM,07/12/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,07/19/2016,03:00 PM,07/19/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,07/26/2016,03:00 PM,07/26/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,08/02/2016,03:00 PM,08/02/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,08/09/2016,03:00 PM,08/09/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/06/2016,03:00 PM,09/06/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/13/2016,03:00 PM,09/13/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/20/2016,03:00 PM,09/20/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,09/27/2016,03:00 PM,09/27/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecB,10/04/2016,03:00 PM,10/04/2016,04:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/13/2016,04:00 PM,07/13/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/20/2016,04:00 PM,07/20/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,07/27/2016,04:00 PM,07/27/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,08/03/2016,04:00 PM,08/03/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,08/10/2016,04:00 PM,08/10/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/07/2016,04:00 PM,09/07/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/14/2016,04:00 PM,09/14/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/21/2016,04:00 PM,09/21/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,09/28/2016,04:00 PM,09/28/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 LecC,10/05/2016,04:00 PM,10/05/2016,05:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA",Jack Mann 101
ENEL301 TutA,07/14/2016,02:00 PM,07/14/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,07/21/2016,02:00 PM,07/21/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,07/28/2016,02:00 PM,07/28/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,08/04/2016,02:00 PM,08/04/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
ENEL301 TutA,08/11/2016,02:00 PM,08/11/2016,03:00 PM,"Fundamentals of Engineering Economics and Management ::  Rutter,KA", Otakaro 146 L1
